Name;Description;RecipeCategory;Calories;FatContent;SaturatedFatContent;CholesterolContent;SodiumContent;CarbohydrateContent;FiberContent;SugarContent;ProteinContent
Buttermilk Pie;"This recipe was originally noted by my wife on a cooking show on TV.  It was touted as an Amish recipe.  All we had for a long time was the list of ingredients on the back of an old envelope.  We lost it for a good while and after I found it, I originally posted it so I would never lose it again.   Thank you all for all your interest ... this is my absolute favorite pie.  During the &quot;lost&quot; phase I must have gained 20 pounds trying numerous different buttermilk pie recipes ... I was so glad when I found it again as only a few even came close in taste and texture.  I've noted a lot of people mentioning reducing the sugar, which is fine, but bear in mind that the sugar quantity was a major difference between this and other recipes I tested when it was lost. Hey, it is a PIE, it is SUPPOSED to be sweet.  Enjoy";Pie;395.9;19.1;9.8;101.5;269.8;52.2;0.7;39.9;5.0
Black Bean Salsa;Make and share this Black Bean Salsa recipe from Food.com.;Sauces;114.3;3.8;0.5;0.0;3.7;15.6;5.5;1.4;5.4
Low-Fat Burgundy Beef & Vegetable Stew;Make and share this Low-Fat Burgundy Beef & Vegetable Stew recipe from Food.com.;Stew;280.1;6.0;1.5;66.9;591.5;22.4;6.1;9.2;29.8
Lou's Fabulous Bruschetta;Make and share this Lou's Fabulous Bruschetta recipe from Food.com.;Vegetable;221.5;6.5;2.5;11.8;367.8;32.5;2.5;1.8;8.1
Blueberry Dessert;Make and share this Blueberry Dessert recipe from Food.com.;Dessert;381.1;17.3;8.8;62.1;437.6;54.5;1.6;36.9;3.9
Brownie Heart Cake;Make and share this Brownie Heart Cake recipe from Food.com.;Dessert;4713.8;286.5;144.2;1097.5;2157.8;509.9;29.0;392.5;71.7
Black Bean, Corn, and Tomato Salad;"This is easy, delicious, colorful, delicious, uses currently-in-season fresh corn and tomatoes, and, oh yes, is really good.  I made a double batch of this yesterday for two of us, and we just polished off the rest of it this evening.    BTW, Ordinary tomato is fine instead of plum tomato (and we happen to use  more of it); I highly recommend flat-leaf parsley, if you can find it, because  the curly stuff is not nearly as flavorful; You can use radicchio or any other  kind of lettuce (if you choose to use any at all); The salad tastes even  better the second day!; Flavor is better when served closer to room temp  as opposed to ice cold.";Black Beans;407.8;15.4;2.3;0.0;20.0;55.8;16.6;4.3;17.1
Cabbage and Sausage Soup;Make and share this Cabbage and Sausage Soup recipe from Food.com.;< 60 Mins;586.1;38.7;12.3;71.9;2020.8;26.1;3.5;11.6;30.2
Almond Pound Cake;Make and share this Almond Pound Cake recipe from Food.com.;Dessert;408.5;17.9;9.0;118.9;159.4;56.0;1.3;29.0;6.9
Black Coffee Barbecue Sauce;"It's great to know folks like this sauce so much! I wish I could take credit for it but it was adopted after the original member left. Thank you, all, just the same.
I have made the recipe with regular brewed coffee but highly recommend the espresso. In a pinch use strong instant if you have nothing else. The acid of the coffee balances the sweetness of the other ingredients.";Lactose Free;772.0;3.9;0.5;0.0;2241.9;189.6;6.4;164.3;7.0
Bourbon Pecan Pound Cake;Make and share this Bourbon Pecan Pound Cake recipe from Food.com.;Dessert;697.7;31.7;13.6;143.6;441.9;91.2;1.9;62.6;7.8
Chicago Style Pizza;Make and share this Chicago Style Pizza recipe from Food.com.;Weeknight;471.4;24.5;10.1;55.0;990.0;41.1;1.9;2.5;20.9
Chicha Peruana;Chicha (corn beer). Chicha is made in South and, to a lesser extent, Central America. Unlike African opaque beer, it is not brewed commercially, but instead is made and served in what sound to me like wee tiny brewpubs. An abbreviated version is also made in people's kitchens. Chicha is consumed whilst still fermenting and so is low in alcohol. It is often spiced and may also be served with fruit.  With Bill's help and a little patience, a friend and I recently completed a batch. This was a very interesting and satisfying endeavour which included growing and malting the corn used. Every step of the process was very simple, and I highly recommend attempting this at home. My second crop of corn is about to come in and the results were good enough that I will be doing this again in the near future.;Beverages;21.1;0.3;0.0;0.0;3.6;2.7;1.5;0.0;2.7
Buckwheat Bread;Make and share this Buckwheat Bread recipe from Food.com.;Yeast Breads;2389.3;27.3;7.1;379.4;2717.0;466.9;57.5;30.2;97.8
Chicken and Dumplings;Make and share this Chicken and Dumplings recipe from Food.com.;Whole Chicken;657.9;42.7;14.4;188.7;637.7;19.1;2.1;2.6;46.1
Brownie Pudding;Make and share this Brownie Pudding recipe from Food.com.;Dessert;182.8;5.9;3.6;7.8;160.2;34.0;2.1;25.3;2.3
Bratwurst;Although they can be made with a fine grind, we prefer the slightly coarse texture obtained with the 3/8 in. (0.95 cm) plate.;High Protein;1243.1;74.6;27.6;418.3;1519.1;28.3;6.6;11.1;113.3
Brownie Cheesecake Torte;Make and share this Brownie Cheesecake Torte recipe from Food.com.;Cheesecake;122.1;4.9;3.0;15.9;194.7;14.4;0.5;10.9;5.7
California Chilled Salsa;Make and share this California Chilled Salsa recipe from Food.com.;Sauces;21.0;0.1;0.0;0.0;354.9;4.9;0.9;3.3;0.6
Alfredo Sauce;"This is my son's favorite meal. I make it with shrimp for him for his birthday every year. GREAT for company because it is so easy and yet taste wonderful! I cook this in the microwave, but I'm sure you could do it on the stove too. Times are what work in my microwave. Please use your own good judgment on times to use in your microwave. (In my quest to eat healthier, I now make it with light butter, light cream and reduced fat Parmesan cheese. It still tastes wonderful, but there isn't any guilt!)
PLEASE NOTE! This is an &quot;authentic&quot; Alfredo sauce recipe! Real Alfredo sauce *only* contains butter, cream, Parmesan cheese and pepper. It will be thin and there is no garlic in it! If you want a thicker sauce or one with garlic like modern restaurants serve, please look elsewhere! Recipe #52892 and Recipe #8596 are two good places to start.";Sauces;489.9;50.4;31.5;159.0;312.4;2.5;0.0;0.2;8.7
Buttermilk Ranch Dressing;Make and share this Buttermilk Ranch Dressing recipe from Food.com.;Free Of...;267.2;20.6;12.8;46.4;577.9;14.1;0.3;7.7;8.2
Brisket with Sauerkraut and Applesauce;Make and share this Brisket with Sauerkraut and Applesauce recipe from Food.com.;Weeknight;232.9;13.6;5.4;36.5;475.7;19.3;2.3;8.5;9.6
Bread Pudding;Make and share this Bread Pudding recipe from Food.com.;Dessert;487.1;25.6;14.5;264.8;597.1;49.3;0.4;29.6;15.6
All Purpose Quick Mix With 28 Variations;"--Adopted Recipe--
Don't be intimidated by all the steps.  Really, there are just a few steps.  The additional &quot;steps&quot; are all the wonderful variations you can make.  Nutrition information is not correct, as it does not include the extra ingredients listed in the variations below.";High In...;529.3;24.3;14.8;61.0;865.8;69.7;6.8;0.3;11.2
Brazilian Empadinhas;The empanadas in Brazil are different from those in other  Latin american countries and are called empadas or empadinhas. They look more like mini pies;Brazilian;329.7;16.7;3.4;77.5;446.8;35.6;2.0;1.9;9.3
Bubble and Squeak;Make and share this Bubble and Squeak recipe from Food.com.;Breakfast;480.7;24.9;11.5;54.9;286.1;56.9;7.6;4.9;11.1
Braised Brussels Sprouts With Vinegar and Dill;Make and share this Braised Brussels Sprouts With Vinegar and Dill recipe from Food.com.;Vegetable;40.9;0.6;0.1;0.0;23.9;8.1;3.0;2.0;2.9
Butter Madeira Cake;Make and share this Butter Madeira Cake recipe from Food.com.;Dessert;373.8;19.9;11.8;126.3;243.8;43.9;0.8;22.2;5.5
Butter Dips;Make and share this Butter Dips recipe from Food.com.;Breads;64.1;3.2;2.0;8.7;118.6;7.6;0.2;0.4;1.2
Brownies;Make and share this Brownies recipe from Food.com.;Bar Cookie;355.1;19.5;10.6;111.2;164.1;42.6;0.7;33.7;4.2
Breakfast Burritos;Make and share this Breakfast Burritos recipe from Food.com.;Breakfast;1974.0;112.2;41.1;656.1;4146.0;150.2;8.8;9.3;84.7
Almond Joy Cake;Make and share this Almond Joy Cake recipe from Food.com.;Dessert;1001.4;50.4;27.8;6.2;634.9;141.6;7.8;110.2;6.7
Almond Paste;Make and share this Almond Paste recipe from Food.com.;Dessert;2123.5;119.8;9.0;0.0;49.1;244.0;22.6;210.7;48.9
Brown Rice and Vegetable Pilaf;Make and share this Brown Rice and Vegetable Pilaf recipe from Food.com.;Brown Rice;412.6;24.4;16.3;40.7;410.7;42.1;4.4;2.7;8.1
Brown Bag Apple Salad;Make and share this Brown Bag Apple Salad recipe from Food.com.;Oranges;141.4;5.0;0.5;0.0;1.5;25.4;3.3;20.6;2.1
Blue Stuffed Mushrooms;Make and share this Blue Stuffed Mushrooms recipe from Food.com.;Free Of...;246.3;22.2;12.1;53.8;482.8;3.5;0.9;1.0;9.9
Blueberry Buttertarts;Make and share this Blueberry Buttertarts recipe from Food.com.;Dessert;337.9;18.4;4.7;17.6;125.7;40.2;1.2;11.5;4.2
Calzone;Calzone has the same flavors as pizza, but it is made like a  huge turnover with the meat, sauce and melting cheese sealed inside. It can  stand alone as a substantial snack, or, combined with a green salad and soup, it makes an easy supper.;Pork;622.8;50.6;21.5;125.9;1504.2;8.9;1.2;0.9;33.1
Capsicum, Tomato and Crunchy Bread Salad;I've made this one with stale toast bread it worked ok. My friends enjoyed this. Didn't have any egg tomatoes so used ordinary ones (not too big)   Any type of dry Italian-style bread can be used pagnotta was used in this recipe.;Low Protein;283.9;26.0;3.6;0.0;11.1;12.4;3.2;7.4;2.3
Chaat Masala;"Asafoetida, mango powder and black salt distinguish the chaat masala from other  masalas, giving the blend a sourness that makes it a welcome accompaniment to  fresh fruit and other snacks.    

&quot;Chaat&quot; refers to various snacks and to the North Indian cafes that serve them. 

Fresh fruit often is sprinkled with lime juice  and chaat masala.    

Black salt (which is actually a reddish gray), available at  Indian food stores, has a distinctive flavor that's quite different from sea salt or table salt.  

The garam masala is the wild card in this recipe; either one of  the Tamil Nadu Curry Powder or Punjabi-Style Garam Masala may be used.";Asian;125.3;6.9;0.5;0.0;13999.9;16.4;6.0;0.9;5.7
Bread Pudding with Jack Daniels Sauce;Make and share this Bread Pudding with Jack Daniels Sauce recipe from Food.com.;Dessert;517.6;25.4;14.7;130.4;521.2;55.5;1.4;25.6;9.2
Braised Chicken with Onions and Tomatoes;Make and share this Braised Chicken with Onions and Tomatoes recipe from Food.com.;Chicken Breast;184.2;8.4;1.4;2.6;413.1;20.9;3.9;10.1;3.9
Cheesy Scalloped Potato Side Dish;"--Adopted Recipe--
This is a simple scalloped potato recipe.  Everyone has their own way of preparing them, and I guess some people will like it and some won't, but this method is very similar to the way I make them.  The original directions gave the crockpot cooking method as the preferred method, with oven baking as an option.  I have reversed this option, since I don't do much cooking in the crockpot.  I hate to leave any electric appliance on when no one is at home.";Potato;332.0;10.5;6.5;32.3;260.7;46.0;5.2;4.3;14.2
Borscht;Make and share this Borscht recipe from Food.com.;Vegetable;631.8;24.7;14.9;61.1;1759.0;100.9;18.3;70.5;14.3
Cheeseburger Casserole;This is popular with the kids especially. My hubby and I find it a bit 'boring' but think adding mustard to it at the table helps give it a little zip.;Cheese;543.5;29.2;11.3;71.9;1795.1;44.8;1.5;12.6;25.5
Caputo's Halibut With Mint and Balsamic Vinegar;This is an adopted recipe. I will post any revisions after I make it.This recipe is so quick and easy you can prepare it in minutes.;Halibut;505.8;18.9;3.1;199.9;281.5;3.0;0.0;2.4;75.8
Cajun Beef Burgers;Make and share this Cajun Beef Burgers recipe from Food.com.;Meat;1012.8;88.5;34.8;112.4;1000.0;38.5;3.4;4.3;15.9
Buttermilk Pie in Cornmeal Pastry;Make and share this Buttermilk Pie in Cornmeal Pastry recipe from Food.com.;Pie;459.0;19.4;6.6;83.4;323.9;61.8;1.1;40.8;10.6
Butterflied Lamb with Garlic Butter;Make and share this Butterflied Lamb with Garlic Butter recipe from Food.com.;Lamb/Sheep;1194.6;74.8;33.0;312.1;348.1;52.7;8.0;7.7;75.9
Borsch;Make and share this Borsch recipe from Food.com.;Very Low Carbs;48.0;0.3;0.1;0.0;168.7;10.8;1.8;8.0;1.7
Chicken and Broccoli Lasagna;Make and share this Chicken and Broccoli Lasagna recipe from Food.com.;Chicken;270.1;19.6;11.4;125.4;610.2;9.7;0.9;1.7;14.4
Carrot Ginger Biscuits;Make and share this Carrot Ginger Biscuits recipe from Food.com.;Breads;127.0;3.3;0.6;2.5;332.4;20.2;1.1;4.2;4.5
Chicken Breasts Saltimbocca;Make and share this Chicken Breasts Saltimbocca recipe from Food.com.;Chicken Breast;511.9;29.5;9.6;124.9;1357.2;15.8;0.6;0.9;40.6
A New Spaghetti with Clams;Make and share this A New Spaghetti with Clams recipe from Food.com.;Spaghetti;1536.7;24.4;3.7;200.0;1258.3;214.9;10.0;5.4;106.8
Blueberry Scones;Make and share this Blueberry Scones recipe from Food.com.;Scones;277.3;13.9;8.2;83.0;377.8;33.4;1.5;7.6;5.3
Blueberry Cookies;Make and share this Blueberry Cookies recipe from Food.com.;Drop Cookies;58.4;2.4;0.7;4.6;41.6;8.7;0.2;4.5;0.7
Abby's Pecan Apple Cake;Make and share this Abby's Pecan Apple Cake recipe from Food.com.;Dessert;357.2;15.1;8.0;74.0;692.7;51.3;1.9;34.7;4.0
Carrot & Tahini Sandwich;Ok, so this is not terribly weird, but most people look at me weird when I tell  them about it. It's yummy! (I  have found that this mixture is best eaten right away as the tahini tends to get sticky like natural peanut butter.);Lunch/Snacks;110.5;7.3;1.0;0.0;53.2;9.8;3.1;2.9;3.2
Carrot Cake II;Make and share this Carrot Cake II recipe from Food.com.;Dessert;1173.5;69.8;19.4;154.7;720.2;129.9;3.7;89.4;11.5
Lamb and Pork Cassoulet;Make and share this Lamb and Pork Cassoulet recipe from Food.com.;Lamb/Sheep;584.9;30.3;9.9;104.7;838.4;36.7;12.4;7.2;40.5
Commissary Carrot Cake;Make and share this Commissary Carrot Cake recipe from Food.com.;Dessert;1011.8;67.4;28.3;146.0;401.4;101.3;4.5;80.1;7.4
Carrot Maple Cheesecake;Make and share this Carrot Maple Cheesecake recipe from Food.com.;Cheesecake;302.5;20.3;11.0;103.0;320.9;22.9;0.9;16.8;8.2
Catherine's Excellent Yorkshire Pudding;You haven't lived until you have experienced the mouth watering taste of my yorkshire puddings.  Warning! They must be flooded with gravy.;Dessert;141.6;2.6;1.1;50.8;73.1;23.4;0.8;0.1;5.5
Caribbean Cowpeas and Rice;Make and share this Caribbean Cowpeas and Rice recipe from Food.com.;Beans;267.2;1.9;0.5;0.0;484.5;58.5;6.1;2.0;7.5
Carnation Lean Fettuccine Alfredo;Make and share this Carnation Lean Fettuccine Alfredo recipe from Food.com.;Vegetable;535.7;15.9;7.4;110.6;588.1;69.7;3.7;2.5;28.6
Caramel Rice Pudding;Make and share this Caramel Rice Pudding recipe from Food.com.;Dessert;686.8;44.2;27.6;155.3;266.5;58.2;0.8;17.9;16.1
Caramel Apple Milkshakes;Make and share this Caramel Apple Milkshakes recipe from Food.com.;Frozen Desserts;208.7;6.5;4.2;26.4;185.3;31.2;0.9;10.9;8.3
Champagne Punch;Here is a good punch recipe for any special occasion.  We serve this every year for Christmas Eve.  It is always a big hit.;Punch Beverage;236.8;0.2;0.0;0.0;14.2;41.6;0.2;38.1;0.6
Butterscotch Apple Dumpling;Make and share this Butterscotch Apple Dumpling recipe from Food.com.;Dessert;271.6;8.9;5.5;22.9;321.8;48.0;1.5;33.2;1.8
Buttermilk-Oat Bread;Make and share this Buttermilk-Oat Bread recipe from Food.com.;Yeast Breads;68.7;0.7;0.3;1.4;88.4;13.3;0.6;1.7;2.1
Blueberry Pancake Syrup;I've made this blueberry syrup several times, but I bet it would work well for raspberries.  It's worth a try!;Sauces;1329.7;1.0;0.1;0.0;16.6;342.8;7.1;328.9;2.2
Chanfana Ou Lampantana;This dish was typical of the Beira provinces in Mozambique where it was served at large gatherings.  This dish is best prepared a day in advance and reheated. It is preferable to use an iron pot, but a good quality oven proof pot will do. Lamb may be used instead of goat.;Very Low Carbs;1266.0;42.5;10.6;302.1;598.5;17.5;0.8;4.7;106.2
Cherry Sandwich Maker Snack;Make and share this Cherry Sandwich Maker Snack recipe from Food.com.;Lunch/Snacks;73.3;0.8;0.2;0.0;171.3;14.3;0.6;1.1;1.9
Cheesecake Cupcakes with Blueberries;Make and share this Cheesecake Cupcakes with Blueberries recipe from Food.com.;Cheesecake;249.5;12.7;6.5;67.9;126.4;31.1;0.5;23.7;3.8
Cheese and Pineapple Dip;Make and share this Cheese and Pineapple Dip recipe from Food.com.;Pineapple;98.7;4.7;2.9;12.1;182.7;11.1;1.1;7.0;4.1
Chicken and Pineapple Salad With Curry Mayonnaise;This is nice, I have used ordinary roast chicken.   CHICKEN AND PINEAPPLE SALAD WITH CURRY MAYONNAISE;Whole Chicken;409.7;27.9;11.9;43.5;362.5;30.2;4.3;15.3;13.3
Carrie's Pizza Rolls;Make and share this Carrie's Pizza Rolls recipe from Food.com.;Low Cholesterol;3521.8;108.1;39.0;183.9;2905.4;548.4;96.2;29.7;134.2
Almond Fudge Banana Cake;Make and share this Almond Fudge Banana Cake recipe from Food.com.;Dessert;224.8;9.2;1.8;34.9;246.8;33.9;1.9;21.8;3.8
Cherry Tomatoes on Provolone Garlic Bread;Make and share this Cherry Tomatoes on Provolone Garlic Bread recipe from Food.com.;Weeknight;488.6;38.6;10.0;24.8;483.5;23.7;2.9;7.2;13.4
Cheesy Chicken Noodle Casserole;Make and share this Cheesy Chicken Noodle Casserole recipe from Food.com.;Chicken Breast;544.0;22.0;7.8;107.8;747.1;59.1;4.2;8.2;30.4
Caramel Sultana Square;Make and share this Caramel Sultana Square recipe from Food.com.;Dessert;3770.5;198.6;123.2;742.8;1963.4;468.4;5.1;302.6;44.2
"&quot;21&quot; Apple Pie";"Make and share this &quot;21&quot; Apple Pie recipe from Food.com.";Pie;694.3;25.1;15.0;96.2;222.5;113.0;13.6;61.9;7.2
Campfire Orange Cake;When I was a child, my mother made orange cake every time we went camping. She would scoop out an orange, fill it with (I think) white jiffy cake mix, wrap it in foil and put it it the campfire to bake.  They were wonderful!;Dessert;332.5;9.6;2.4;0.0;453.6;59.2;2.8;38.3;3.6
Bugwiches;A little bit of fun for the kids this summer. Happy Hunting! Deborah   Bugwiches:  Whatever filling you choose to put between the top and bottom of your dinner rolls, your little critters are sure to get the shivers when they sit down to eat. You'll want to slice your vegetables a variety of ways in order to make such body parts as legs and antennae, and scales and eyes.  What you'll need:;Lunch/Snacks;84.0;2.0;0.5;0.3;145.9;14.1;0.8;0.7;2.4
Cheese Rolls;Make and share this Cheese Rolls recipe from Food.com.;Lunch/Snacks;66.5;0.8;0.2;0.0;127.8;12.7;0.6;1.1;1.9
All-Purpose Crock Pot Chicken;"I discovered this one a few weeks ago. I started out trying to make chicken and  rice and ended up with this.

It is very tender and very good.  An excellent  make-ahead dish for summer.  All the work is done before the crock pot is even  warm.

This is excellent for fajitas, pasta salads,  chicken salad, soup, added to beans and rice, just laying on bread for chicken  sandwiches, or just eating cold.";Whole Chicken;247.2;17.3;5.0;86.2;99.9;0.0;0.0;0.0;21.4
Anise Toast;Make and share this Anise Toast recipe from Food.com.;< 30 Mins;978.7;60.1;9.8;211.5;325.6;98.3;1.7;50.6;12.8
Angel Food Cake Waldorf;Make and share this Angel Food Cake Waldorf recipe from Food.com.;Dessert;613.8;39.9;21.4;122.3;450.4;60.1;2.9;32.9;9.7
Amish Friendship Bread and Starter;Many recipes have been posted for the Amish bread, but none have included the starter, so I thought I'd send this along.  Happy baking!  Amish Friendship Bread and Starter;Quick Breads;615.9;21.3;4.0;42.4;374.9;100.0;2.3;65.2;8.5
Amish Cornbread;Make and share this Amish Cornbread recipe from Food.com.;Sourdough Breads;1792.5;85.0;20.6;474.2;3580.5;217.9;15.1;10.5;45.9
Light Cucumber Soup;Make and share this Light Cucumber Soup recipe from Food.com.;Low Protein;113.7;1.6;0.8;7.2;80.0;20.3;1.1;9.2;6.2
Cold Celery;Make and share this Cold Celery recipe from Food.com.;Lunch/Snacks;135.1;5.3;0.8;0.0;1546.3;19.7;7.8;13.5;5.2
Coconut-Lemon Macaroons;Make and share this Coconut-Lemon Macaroons recipe from Food.com.;Dessert;2495.0;147.0;129.8;0.0;304.0;287.6;38.2;217.9;34.4
Chicken Flambe;Make and share this Chicken Flambe recipe from Food.com.;Chicken Breast;304.6;14.6;4.5;88.0;158.6;6.6;0.8;2.2;25.6
Chicken Curry;Accompany curry with  pappadams and chutney.  This particular combination of spices, which includes  cardamom and cinnamon, gives a mild heat and rich fragrance to  the dish.  You can adjust the spices to suit your taste.;Curries;360.1;10.7;4.9;93.2;1251.6;38.0;4.6;23.5;31.1
Chicken Goulash on a Sour Cream Crust;Make and share this Chicken Goulash on a Sour Cream Crust recipe from Food.com.;Chicken Breast;695.5;46.4;22.0;166.1;275.1;41.8;2.6;3.7;24.2
Chicken in Pizza Dough;Make and share this Chicken in Pizza Dough recipe from Food.com.;Chicken Breast;545.0;5.9;1.6;69.7;628.0;97.3;3.9;1.4;22.8
Chicken Lasagna;Make and share this Chicken Lasagna recipe from Food.com.;Chicken;209.3;10.3;4.7;29.4;693.5;10.9;0.8;3.1;18.1
Chicken Liver Pate;Make and share this Chicken Liver Pate recipe from Food.com.;Chicken Livers;201.2;17.9;10.9;144.2;301.2;1.9;0.2;0.7;6.2
Chicken Liver Pate II;Make and share this Chicken Liver Pate II recipe from Food.com.;Chicken Livers;233.6;21.0;12.8;146.5;93.5;6.6;1.4;0.8;5.8
Coconut Shrimp With Orange Mustard Sauce;Make and share this Coconut Shrimp With Orange Mustard Sauce recipe from Food.com.;Coconut;2620.3;118.8;98.5;714.4;6021.8;274.4;34.5;93.0;109.9
Chicken Liver Pate III;Make and share this Chicken Liver Pate III recipe from Food.com.;Chicken Livers;968.4;72.0;40.0;1418.7;747.2;2.8;0.3;0.6;63.1
Appetizers-Easy Stuffed Mushrooms;Hi,  Here is a great recipe for Stuffed Mushrooms that is easy to make and is usually goes over well.   You can make these a day ahead and bake before serving.;< 60 Mins;81.8;6.2;3.7;15.3;195.8;5.5;0.8;1.5;2.0
Anzac Biscuits;These biscuits (cookies in America) are called Anzacs because they were baked by Australian women and sent to their ANZAC soldier sons/husbands serving in Europe and Middle east during WW I. It was more like 2 months before they were received back then, so they certainly do travel well! :-)  ** Please note that 1 Australian Tablespoon =  20 mls whereas in most others countries it = 15 mls.  Anzac Biscuits;< 30 Mins;199.4;10.4;6.8;22.3;143.4;25.0;1.5;10.9;2.2
Ancho Chile Rub;Make and share this Ancho Chile Rub recipe from Food.com.;Free Of...;75.5;2.7;0.4;0.0;3658.7;14.2;7.3;0.8;3.3
Amish Six Layer Dinner;Make and share this Amish Six Layer Dinner recipe from Food.com.;Vegetable;338.4;16.9;6.5;74.8;1453.8;23.1;4.7;6.1;23.8
Chicken on Sunday  (Or Whenever);Make and share this Chicken on Sunday  (Or Whenever) recipe from Food.com.;Whole Chicken;951.2;31.8;9.5;129.1;769.2;118.7;2.8;1.5;42.4
Chicken Pot Pie Lasagna;Make and share this Chicken Pot Pie Lasagna recipe from Food.com.;Savory Pies;334.8;13.8;7.2;68.1;517.3;19.2;2.1;3.2;30.8
Chicken Roll-Ups;Make and share this Chicken Roll-Ups recipe from Food.com.;Chicken;330.7;19.4;10.2;76.0;552.7;31.8;2.3;3.7;7.5
Chicken Supreme with Mushrooms;Make and share this Chicken Supreme with Mushrooms recipe from Food.com.;Chicken Breast;411.0;26.8;12.2;128.0;209.7;7.3;1.0;3.2;32.0
Cola Roast;Make and share this Cola Roast recipe from Food.com.;Free Of...;632.0;24.9;7.0;211.2;2236.9;27.6;5.2;17.6;73.1
Cola Cake;Make and share this Cola Cake recipe from Food.com.;Dessert;560.7;24.9;15.1;108.1;403.6;80.2;1.2;52.8;6.1
Chicken Sate with Peanut Sauce;We prefer the chicken breasts whole, with the sauce accompanying, but you can cut it into chunks and skewer it if you prefer.  The sauce is SO good that I eat the leftovers with a spoon!  (Also very good on toasted English muffins...);Chicken Breast;527.6;37.9;13.0;109.1;1525.5;12.2;3.4;3.2;38.2
Coconut Crunch Beans;Garden-fresh beans receive an exotic twist with a lightly spiced crunchy coconut and sesame seed topping.;Coconut;269.9;23.4;18.8;10.1;191.6;15.5;8.8;3.7;4.5
Coconut Chicken Bites;Make and share this Coconut Chicken Bites recipe from Food.com.;Lunch/Snacks;1094.1;81.8;50.7;319.5;1046.4;34.6;7.9;3.3;57.0
Chocolate Pound Cake;I am resending this recipe.  This is the corrected version!  I really made a  goof up on the original.  Sorry about the mistake I've made.;Dessert;2905.2;168.7;101.2;1031.4;1092.8;321.9;9.2;178.0;38.2
